timestamp,Storm ID,BASIN,Season,SEASON TC NUMBER,Latitude (degrees),Longitude (degrees),VMAX (kt),Peak VMAX (kt),ACE,Maximum 24h Intensification,Tropical SST,Local SST,Local Month Mean
1982-10-31 12:00:00,1983-S-2,SP,1983.0,2.0,-9.9,171.2,30.0,65.0,0.79825,10.0,27.555645,29.123194,28.849504
1983-07-09 12:00:00,1983-N-2,WP,1983.0,2.0,11.4,127.4,25.0,65.0,0.37,30.0,27.47439,29.152802,29.35249
1982-11-07 18:00:00,1983-S-3,SP,1983.0,3.0,-10.8,178.8,20.0,40.0,0.2135,10.0,27.761448,29.167768,29.221582
1983-07-09 06:00:00,1983-N-3,WP,1983.0,3.0,9.5,146.2,20.0,90.0,1.17275,20.0,27.47439,28.491142,29.207804
1982-11-29 12:00:00,1983-S-4,SI,1983.0,4.0,-8.5,60.0,25.0,65.0,0.538,15.0,27.761448,27.580904,27.840137
1983-07-20 18:00:00,1983-N-4,WP,1983.0,4.0,8.5,138.9,20.0,135.0,1.0965,55.0,27.47439,28.68353,29.216326
1982-12-10 00:00:00,1983-S-5,SP,1983.0,5.0,-9.0,200.0,25.0,55.0,0.44125,10.0,27.959805,29.719185,28.977968
1983-08-05 00:00:00,1983-N-5,WP,1983.0,5.0,9.1,140.7,30.0,145.0,5.04125,55.0,27.137825,28.987455,29.159843
1982-12-21 00:00:00,1983-S-6,SI,1983.0,6.0,-8.9,60.1,20.0,65.0,0.65625,15.0,27.959805,27.96706,28.318714
1983-08-08 00:00:00,1983-N-6,WP,1983.0,6.0,16.0,111.3,20.0,45.0,0.2365,15.0,27.137825,29.128742,28.919827
1983-01-04 06:00:00,1983-S-7,SI,1983.0,7.0,-15.0,115.3,25.0,80.0,0.69375,25.0,27.949896,28.812717,28.6973
1983-08-12 00:00:00,1983-N-7,WP,1983.0,7.0,24.3,145.1,30.0,50.0,0.2545,10.0,27.137825,28.365505,28.888958
1983-01-10 00:00:00,1983-S-8,SI,1983.0,8.0,-8.8,47.2,25.0,65.0,0.525,20.0,27.949896,28.93998,28.809578
1983-08-17 06:00:00,1983-N-8,WP,1983.0,8.0,15.2,140.1,20.0,55.0,0.559,20.0,27.137825,29.110752,29.375921
1983-01-13 18:00:00,1983-S-9,SP,1983.0,9.0,-14.6,142.6,15.0,55.0,0.57325,15.0,27.949896,30.110235,29.675484
1983-01-18 12:00:00,1983-S-10,SP,1983.0,10.0,-14.2,176.4,20.0,80.0,1.0135,15.0,27.949896,28.403198,29.056
1983-08-27 00:00:00,1983-N-10,WP,1983.0,10.0,9.8,183.2,20.0,125.0,2.30975,30.0,27.137825,27.914701,28.449713
